Index,X Axis,V(OUT)
109,251188.64315095564,1.816317684200458E-7-1.0783294593077838E-6j
110,281838.2931264427,1.813457595628026E-7-9.604933361877907E-7j
111,316227.7660168349,1.8126614368937356E-7-8.55425651046644E-7j
112,354813.389233572,1.813860454234201E-7-7.617418434899123E-7j
113,398107.1705534933,1.8170774776849866E-7-6.782119435285133E-7j
114,446683.5921509587,1.8224202761038826E-7-6.037455206395405E-7j
115,501187.23362726724,1.8300754918292264E-7-5.37378840237139E-7j
116,562341.3251903434,1.8403011044581106E-7-4.782641053542954E-7j
117,630957.3444801868,1.8534147523573241E-7-4.25660650330846E-7j
118,707945.7843841305,1.8697745074650307E-7-3.789278999363612E-7j
119,794328.2347242732,1.8897480127466518E-7-3.375197962744783E-7j
120,891250.9381337361,1.913665581063545E-7-3.009802098287726E-7j
121,999999.9999999894,1.9417534453280922E-7-2.689385924714035E-7j
122,1122018.4543019515,1.9740455121542406E-7-2.4110483565898705E-7j
123,1258925.4117941537,2.0102762949987895E-7-2.172620567510618E-7j
124,1412537.544622739,2.0497642289245217E-7-1.9725600825567383E-7j
125,1584893.1924610962,2.0913021364648037E-7-1.8098017042636423E-7j
126,1778279.4100389034,2.1330775017778124E-7-1.6835646206247904E-7j
127,1995262.314968858,2.172645601757132E-7-1.5931278379251026E-7j
128,2238721.1385683147,2.2069704773190382E-7-1.5375988270406653E-7j
129,2511886.431509552,2.2325327588143613E-7-1.5157066189369312E-7j
130,2818382.9312644224,2.2454851084416553E-7-1.5256453604765987E-7j
131,3162277.6601683437,2.241824365172499E-7-1.5649775698260654E-7j
132,3548133.8923357143,2.2175515091128376E-7-1.6305848298692846E-7j
133,3981071.705534927,2.1688068832475542E-7-1.7186379176433412E-7j
134,4466835.92150958,2.0919919732934612E-7-1.824556770592765E-7j
135,5011872.336272665,1.9839100645530826E-7-1.9429452532142402E-7j
136,5623413.251903425,1.8419672275285902E-7-2.0675120647856237E-7j
137,6309573.444801859,1.6644672634144279E-7-2.1910193759122435E-7j
138,7079457.843841296,1.451008395103618E-7-2.3053258209828519E-7j
139,7943282.34724272,1.202948135300237E-7-2.401600709726054E-7j
140,8912509.381337348,9.238533436718465E-8-2.4707720661172533E-7j
141,9999999.99999988,6.198095842236287E-8-2.504225585216318E-7j
142,1.12201845430195E7,2.9944862134493774E-8-2.494697586868862E-7j
143,1.2589254117941521E7,-2.6414766856584956E-9-2.437221442096264E-7j
144,1.4125375446227372E7,-3.455607367635698E-8-2.329927708027866E-7j
145,1.5848931924610943E7,-6.454660466791417E-8-2.1744978751014063E-7j
146,1.778279410038901E7,-9.14537932766668E-8-1.976142631896113E-7j
147,1.995262314968855E7,-1.143247695758922E-7-1.7430942904792165E-7j
148,2.238721138568312E7,-1.3249663335615453E-7-1.4857200357165232E-7j
149,2.511886431509549E7,-1.4563928545900967E-7-1.215432472634934E-7j
150,2.8183829312644187E7,-1.537563678412564E-7-9.435813339881588E-8j
151,3.1622776601683397E7,-1.57150252785054E-7-6.804727468526834E-8j
152,3.54813389233571E7,-1.5636039342065896E-7-4.346111332405513E-8j
153,3.981071705534922E7,-1.5208514710194879E-7-2.1221552174866487E-8j
154,4.466835921509574E7,-1.4509709463270705E-7-1.7030501646479065E-9j
155,5.0118723362726584E7,-1.3616167599675662E-7+1.495756261376397E-8j
156,5.6234132519034185E7,-1.2596825611128E-7+2.8826321092758607E-8j
157,6.30957344480185E7,-1.1508078780525038E-7+4.011915743737027E-8j
158,7.079457843841286E7,-1.0391201685660526E-7+4.9139371578978614E-8j
159,7.94328234724271E7,-9.272167145308091E-8+5.621426931740608E-8j
160,8.912509381337336E7,-8.163664145038339E-8+6.163840152361499E-8j
161,9.999999999999866E7,-7.069023419740452E-8+6.562972152157566E-8j
162,1.1220184543019484E8,-5.98767938492344E-8+6.830556080174929E-8j
163,1.2589254117941502E8,-4.921432950096336E-8+6.968700495189552E-8j
164,1.412537544622735E8,-3.87995464118983E-8+6.973852360797533E-8j
165,1.584893192461092E8,-2.883136752958321E-8+6.843809806244469E-8j
166,1.7782794100388983E8,-1.9583169739559526E-8+6.585221901826173E-8j
167,1.995262314968852E8,-1.1329047048033738E-8+6.217648913684617E-8j
168,2.238721138568309E8,-4.2609758401196814E-9+5.7716895214785694E-8j
169,2.5118864315095454E8,1.5590682422440067E-9+5.28241846056105E-8j
170,2.818382931264415E8,6.194507823699323E-9+4.782068957154325E-8j
171,3.162277660168335E8,9.793065920075741E-9+4.295322212812334E-8j
172,3.548133892335705E8,1.2537658296634114E-8+3.838068565090882E-8j
173,3.9810717055349165E8,1.4608880025532518E-8+3.4185892393176056E-8j
174,4.466835921509568E8,1.6164438913677115E-8+3.039680153928472E-8j
175,5.011872336272652E8,1.733215854425581E-8+2.700707315057816E-8j
176,5.623413251903411E8,1.8210937512733E-8+2.3991745145725675E-8j
177,6.309573444801842E8,1.8875163449338714E-8+2.1317597065493408E-8j
178,7.079457843841276E8,1.9379907316398142E-8+1.8949300482100617E-8j
179,7.943282347242699E8,1.9765644133969754E-8+1.6852709605508956E-8j
180,8.912509381337324E8,2.0062082243714534E-8+1.4996396485965335E-8j
181,1.0E9,2.0291086544193424E-8+1.3352191492217285E-8j
