Index,X Axis,ONOISE,INOISE
608,1174897.5549395054,1.8728145130762236E-15,4.596230158838952E-15
609,1202264.434617388,1.7863560431753943E-15,4.633333691956886E-15
610,1230268.7708123561,1.7038928939842483E-15,4.672298312202789E-15
611,1258925.4117941412,1.6252384701795726E-15,4.7131980620764875E-15
612,1288249.5516931075,1.550215042896078E-15,4.756109864319935E-15
613,1318256.7385563802,1.4786533184646527E-15,4.801113589828004E-15
614,1348962.882591626,1.410392028729709E-15,4.848292123296142E-15
615,1380384.2646028565,1.345277541801508E-15,4.8977314260613624E-15
616,1412537.5446227253,1.2831634922195247E-15,4.949520595520182E-15
617,1445439.7707458977,1.223910429507033E-15,5.003751920505588E-15
618,1479108.3881681769,1.1673854841805162E-15,5.0605209318274344E-15
619,1513561.2484361767,1.1134620503292916E-15,5.1199264472712964E-15
620,1548816.618912449,1.0620194839032719E-15,5.182070610127886E-15
621,1584893.1924610806,1.0129428159241763E-15,5.24705892034759E-15
622,1621810.0973588962,9.661224798544309E-16,5.315000257308578E-15
623,1659586.907437526,9.214540524020368E-16,5.3860068930923615E-15
624,1698243.6524617088,8.788380070979544E-16,5.4601944950904556E-15
625,1737800.8287493389,8.381794799817744E-16,5.537682116662317E-15
626,1778279.4100388852,7.993880467982345E-16,5.618592174496594E-15
627,1819700.8586099448,7.623775111238057E-16,5.703050411188985E-15
628,1862087.1366628278,7.270657028723119E-16,5.7911858415194235E-15
629,1905460.7179632066,6.933742866601331E-16,5.883130680716406E-15
630,1949844.5997580036,6.612285795389001E-16,5.979020253018735E-15
631,1995262.3149688367,6.305573776275135E-16,6.078992878620576E-15
632,2041737.9446694856,6.012927911967697E-16,6.1831897370846646E-15
633,2089296.1308539945,5.73370087787597E-16,6.291754705165804E-15
634,2137962.089502186,5.467275429615007E-16,6.404834166870893E-15
635,2187761.6239495054,5.213062983018014E-16,6.522576793615597E-15
636,2238721.1385682914,4.970502263064838E-16,6.64513329206964E-15
637,2290867.652767724,4.739058018290546E-16,6.772656117396827E-15
638,2344228.8153198715,4.518219797380642E-16,6.9052991494595725E-15
