# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
3.40000000000e-01 2.81837443914e+01 1.90094366030e-08 2.72731466511e-03 2.23535549512e-10 2.19197662191e-10 3.38266928768e-10 5.13243276518e+00 -3.66064099631e-02 3.80918872492e-09
3.50000000000e-01 2.77127008557e+01 2.51396216200e-08 3.08992687187e-03 2.23556283793e-10 2.19434266842e-10 3.38533776081e-10 5.23472347959e+00 -3.78375465124e-02 4.93914191587e-09
3.60000000000e-01 2.71922847483e+01 3.30825668173e-08 3.46109230091e-03 2.23575638370e-10 2.19666146385e-10 3.38838167928e-10 5.35604382746e+00 -3.93448017794e-02 6.35245488911e-09
3.70000000000e-01 2.66088645357e+01 4.32958832098e-08 3.83593292221e-03 2.23593716583e-10 2.19892611657e-10 3.39182825282e-10 5.49672465605e+00 -4.11620360875e-02 8.10082283370e-09
3.80000000000e-01 2.59496802204e+01 5.63116903316e-08 4.20992387998e-03 2.23610613599e-10 2.20113019587e-10 3.39570434791e-10 5.65595845740e+00 -4.33184307310e-02 1.02395027374e-08
3.90000000000e-01 2.52058165268e+01 7.27284879061e-08 4.57898909953e-03 2.23626417036e-10 2.20326784760e-10 3.40003669082e-10 5.83164776055e+00 -4.58361865756e-02 1.28262525687e-08
4.00000000000e-01 2.43747898266e+01 9.31941321799e-08 4.93957022362e-03 2.23641207561e-10 2.20533389380e-10 3.40485208482e-10 6.02040529650e+00 -4.87287402746e-02 1.59202305549e-08
4.10000000000e-01 2.34619250322e+01 1.18380609593e-07 5.28867073957e-03 2.23655059436e-10 2.20732391221e-10 3.41017763970e-10 6.21772528479e+00 -5.19998102522e-02 1.95810310273e-08
4.20000000000e-01 2.24801018416e+01 1.48953433892e-07 5.62387496591e-03 2.23668041036e-10 2.20923429269e-10 3.41604101318e-10 6.41830518861e+00 -5.56434345893e-02 2.38680351786e-08
4.30000000000e-01 2.14480165728e+01 1.85540120050e-07 5.94334236664e-03 2.23680215322e-10 2.21106226889e-10 3.42247066375e-10 6.61646151403e+00 -5.96449666624e-02 2.88402191411e-08
4.40000000000e-01 2.03875531511e+01 2.28702623370e-07 6.24577959852e-03 2.23691640285e-10 2.21280592515e-10 3.42949611356e-10 6.80656478544e+00 -6.39828133045e-02 3.45564942702e-08
4.50000000000e-01 1.93210077971e+01 2.78917677809e-07 6.53039450104e-03 2.23702369352e-10 2.21446417981e-10 3.43714821912e-10 6.98342296723e+00 -6.86305877893e-02 4.10765733634e-08
4.60000000000e-01 1.82687763581e+01 3.36567018954e-07 6.79683731099e-03 2.23712451761e-10 2.21603674738e-10 3.44545944791e-10 7.14256474719e+00 -7.35593294422e-02 4.84622845897e-08
4.70000000000e-01 1.72478280498e+01 4.01937287411e-07 7.04513460829e-03 2.23721932901e-10 2.21752408282e-10 3.45446415883e-10 7.28040371324e+00 -7.87395014423e-02 5.67792103288e-08
4.80000000000e-01 1.62710066338e+01 4.75227689620e-07 7.27562102993e-03 2.23730854634e-10 2.21892731188e-10 3.46419888519e-10 7.39429085696e+00 -8.41425836468e-02 6.60985178204e-08
4.90000000000e-01 1.53470106677e+01 5.56562624146e-07 7.48887287872e-03 2.23739255584e-10 2.22024815167e-10 3.47470261987e-10 7.48247965825e+00 -8.97421891253e-02 7.64988676354e-08
5.00000000000e-01 1.44808264884e+01 6.46006451441e-07 7.68564665417e-03 2.23747171399e-10 2.22148882544e-10 3.48601710262e-10 7.54403412873e+00 -9.55147232165e-02 8.80683225098e-08
5.10000000000e-01 1.36743936591e+01 7.43578126799e-07 7.86682444146e-03 2.23754635001e-10 2.22265197543e-10 3.49818711076e-10 7.57870812948e+00 -1.01439660000e-01 1.00906220001e-07
5.20000000000e-01 1.29273325028e+01 8.49264196113e-07 8.03336713791e-03 2.23761676806e-10 2.22374057717e-10 3.51126075454e-10 7.58681781069e+00 -1.07499534291e-01 1.15125008043e-07
