# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
3.70000000000e-01 1.50341074528e+01 1.99034363919e-06 8.63479247961e-03 2.31856847723e-10 2.28700873024e-10 3.76800499129e-10 7.67382200331e+00 1.06994688051e-01 2.66612947726e-07
3.80000000000e-01 1.43042651795e+01 2.30433667529e-06 8.76634963493e-03 2.31871254431e-10 2.28889048272e-10 3.78483430324e-10 7.97252461890e+00 1.13615394721e-01 2.97108417219e-07
3.90000000000e-01 1.36106106577e+01 2.64891813545e-06 8.88665283093e-03 2.31884728402e-10 2.29071557882e-10 3.80289988781e-10 8.26239530133e+00 1.20399911437e-01 3.29554662322e-07
4.00000000000e-01 1.29547988464e+01 3.02452703067e-06 8.99683288066e-03 2.31897338525e-10 2.29247957416e-10 3.82229321007e-10 8.54072011096e+00 1.27327572916e-01 3.64022202629e-07
4.10000000000e-01 1.23373878553e+01 3.43146065259e-06 9.09792749355e-03 2.31909148214e-10 2.29417866962e-10 3.84311345373e-10 8.80493357995e+00 1.34379999609e-01 4.00606352639e-07
4.20000000000e-01 1.17580681276e+01 3.86990155472e-06 9.19088081104e-03 2.31920215847e-10 2.29580976068e-10 3.86546815303e-10 9.05262038854e+00 1.41541108764e-01 4.39430807342e-07
4.30000000000e-01 1.12158728432e+01 4.33994271011e-06 9.27654587328e-03 2.31930595175e-10 2.29737046551e-10 3.88947388941e-10 9.28150913923e+00 1.48797035109e-01 4.80651489710e-07
4.40000000000e-01 1.07093613113e+01 4.84160976118e-06 9.35568903592e-03 2.31940335692e-10 2.29885913163e-10 3.91525705597e-10 9.48946013698e+00 1.56135989575e-01 5.24460964001e-07
4.50000000000e-01 1.02367724170e+01 5.37487979774e-06 9.42899558467e-03 2.31949482990e-10 2.30027482215e-10 3.94295469353e-10 9.67444914596e+00 1.63548079956e-01 5.71093744220e-07
4.60000000000e-01 9.79614862087e+00 5.93969650349e-06 9.49707598662e-03 2.31958079074e-10 2.30161728355e-10 3.97271540209e-10 9.83454908447e+00 1.71025112541e-01 6.20832859435e-07
4.70000000000e-01 9.38543301458e+00 6.53598179702e-06 9.56047237184e-03 2.31966162661e-10 2.30288689810e-10 4.00470033230e-10 9.96791158058e+00 1.78560389012e-01 6.74018085381e-07
4.80000000000e-01 9.00254291016e+00 7.16364427030e-06 9.61966496111e-03 2.31973769454e-10 2.30408462409e-10 4.03908426161e-10 1.00727502804e+01 1.86148508708e-01 7.31056322055e-07
4.90000000000e-01 8.64542373644e+00 7.82258482079e-06 9.67507824907e-03 2.31980932383e-10 2.30521192754e-10 4.07605675998e-10 1.01473278200e+01 1.93785182943e-01 7.92434696484e-07
5.00000000000e-01 8.31208689052e+00 8.51269990047e-06 9.72708682247e-03 2.31987681844e-10 2.30627070904e-10 4.11582345010e-10 1.01899484583e+01 2.01467065306e-01 8.58737105363e-07
5.10000000000e-01 8.00063484332e+00 9.23388278756e-06 9.77602074531e-03 2.31994045902e-10 2.30726322885e-10 4.15860736695e-10 1.01989585395e+01 2.09191599854e-01 9.30665090803e-07
5.20000000000e-01 7.70927634395e+00 9.98602324118e-06 9.82217047912e-03 2.32000050483e-10 2.30819203316e-10 4.20465042107e-10 1.01727571975e+01 2.16956887662e-01 1.00906417196e-06
5.30000000000e-01 7.43633409361e+00 1.07690058378e-05 9.86579133295e-03 2.32005719554e-10 2.30905988390e-10 4.25421496961e-10 1.01098200090e+01 2.24761571190e-01 1.09495704312e-06
