# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
3.80000000000e-01 2.93706006528e+01 3.44010628042e-10 4.37536992449e-04 2.19380780049e-10 2.12614440150e-10 4.14164214398e-10 8.81197534538e+00 -3.59215054267e-02 4.01499584478e-11
3.90000000000e-01 2.90991116659e+01 4.60832204536e-10 4.88979604433e-04 2.19411353884e-10 2.13027955091e-10 4.14142506100e-10 8.85310754520e+00 -3.59628963743e-02 5.35344807879e-11
4.00000000000e-01 2.88001670100e+01 6.15567601221e-10 5.49099412555e-04 2.19439968421e-10 2.13427613564e-10 4.14119355878e-10 8.90005110199e+00 -3.60175811770e-02 7.11327775322e-11
4.10000000000e-01 2.84736495475e+01 8.19692293764e-10 6.19241732681e-04 2.19466767333e-10 2.13812559921e-10 4.14095194289e-10 8.95328817109e+00 -3.60894799563e-02 9.41574747883e-11
4.20000000000e-01 2.81201022054e+01 1.08780033693e-09 7.00878716396e-04 2.19491882892e-10 2.14182095807e-10 4.14070657616e-10 9.01331989086e+00 -3.61835047110e-02 1.24122615264e-10
4.30000000000e-01 2.77408709157e+01 1.43832133145e-09 7.95588044564e-04 2.19515436893e-10 2.14535686319e-10 4.14046633544e-10 9.08065510986e+00 -3.63057386303e-02 1.62901563916e-10
4.40000000000e-01 2.73382046895e+01 1.89436648143e-09 9.05016755562e-04 2.19537541503e-10 2.14872961343e-10 4.14024308966e-10 9.15580192707e+00 -3.64636189164e-02 2.12791426254e-10
4.50000000000e-01 2.69152836854e+01 2.48472411997e-09 1.03082714727e-03 2.19558300052e-10 2.15193712300e-10 4.14005217005e-10 9.23926469057e+00 -3.66661110981e-02 2.76584144543e-10
4.60000000000e-01 2.64761485303e+01 3.24503151559e-09 1.17462262033e-03 2.19577807759e-10 2.15497884781e-10 4.13991279329e-10 9.33154832663e+00 -3.69238594225e-02 3.57644641826e-10
4.70000000000e-01 2.60255095218e+01 4.21915808434e-09 1.33785318783e-03 2.19596152399e-10 2.15785567715e-10 4.13984839021e-10 9.43317141254e+00 -3.72492953681e-02 4.59996561360e-10
4.80000000000e-01 2.55684280409e+01 5.46084354925e-09 1.52170326320e-03 2.19613414918e-10 2.16056979833e-10 4.13988678973e-10 9.54468791838e+00 -3.76566853447e-02 5.88416056272e-10
4.90000000000e-01 2.51098816249e+01 7.03564019360e-09 1.72696810134e-03 2.19629669994e-10 2.16312454237e-10 4.14006021117e-10 9.66671607377e+00 -3.81620998465e-02 7.48533379785e-10
5.00000000000e-01 2.46542510099e+01 9.02320577774e-09 1.95392940161e-03 2.19644986558e-10 2.16552421875e-10 4.14040503095e-10 9.79997004306e+00 -3.87832899645e-02 9.46940359639e-10
5.10000000000e-01 2.42047931193e+01 1.15199772670e-08 2.20224421005e-03 2.19659428265e-10 2.16777394652e-10 4.14096131114e-10 9.94528788307e+00 -3.95394630304e-02 1.19129899797e-09
5.20000000000e-01 2.37631829526e+01 1.46422195261e-08 2.47086327510e-03 2.19673053928e-10 2.16987948817e-10 4.14177210571e-10 1.01036477865e+01 -4.04509565282e-02 1.49044251022e-09
5.30000000000e-01 2.33292112969e+01 1.85293845541e-08 2.75799436947e-03 2.19685917916e-10 2.17184709142e-10 4.14288259128e-10 1.02761648989e+01 -4.15388171963e-02 1.85445561566e-09
5.40000000000e-01 2.29007096414e+01 2.33476368222e-08 3.06112220687e-03 2.19698070515e-10 2.17368334287e-10 4.14433909635e-10 1.04640631944e+01 -4.28242993741e-02 2.29471676627e-09
